request_id,source_system,department,section_id,corridor_slot,chainage_start,chainage_end,requested_window_start,requested_window_end,required_duration_minutes,work_type,asset_id,asset_type,asset_age_years,last_maintenance_days_ago,past_breakdown_count,gross_million_tonnes,condition_score,urgency_category,requires_power_block,requires_traffic_block,status
REQ-20260915-ENG-0011,COA,ENG,SEC-CNB-PRYJ,SLOT_MIDDAY,514.22,515.39,2026-09-15T12:00:00,2026-09-15T14:45:00,145,Ultrasonic Flaw Detection (USFD) & Joint Rectification,ENG-TRK-CNB-PRYJ-0051,Rail Joint / Fishplate,12.7,220,2,62.1,4.5,HIGH,False,True,PENDING
REQ-20260915-ENG-0012,TMS,ENG,SEC-GZB-ALJN,SLOT_MIDDAY,33.9,34.39,2026-09-15T12:00:00,2026-09-15T15:00:00,122,Turnout & Switch Crossing Renewal,ENG-TRK-GZB-ALJN-0057,Turnout Assembly,3.9,102,0,26.4,9.0,MEDIUM,False,True,PENDING
REQ-20260915-ENG-0013,TMS,ENG,SEC-NDLS-TKJ,SLOT_MIDDAY,2.45,2.77,2026-09-15T12:00:00,2026-09-15T14:30:00,133,Turnout & Switch Crossing Renewal,ENG-TRK-NDLS-TKJ-0081,Turnout Assembly,7.7,154,1,57.1,5.6,MEDIUM,False,True,PENDING
REQ-20260915-TRD-0012,TDMS,TRD,SEC-PRYJ-DDU,SLOT_MIDDAY,731.39,731.87,2026-09-15T12:00:00,2026-09-15T14:45:00,134,Neutral Section & Phase Break Maintenance,TRD-OHE-PRYJ-DDU-0077,PTFE Neutral Section,10.2,131,1,82.4,4.8,MEDIUM,True,True,PENDING
REQ-20260915-TRD-0013,TDMS,TRD,SEC-ALJN-TDL,SLOT_AFTERNOON,158.27,159.75,2026-09-15T15:00:00,2026-09-15T18:30:00,163,OHE Catenary Wire Splicing & Tensioning,TRD-OHE-ALJN-TDL-0030,Tension Spring / Regulating Equipment,1.5,26,0,29.1,8.2,LOW,True,True,PENDING
REQ-20260915-ENG-0014,COA,ENG,SEC-ALJN-TDL,SLOT_AFTERNOON,158.47,160.22,2026-09-15T15:00:00,2026-09-15T18:00:00,151,Through Rail Renewal (TRR),ENG-TRK-ALJN-TDL-0038,Continuous Welded Rail,7.2,165,3,44.2,5.2,HIGH,False,True,PENDING
REQ-20260915-ST-0009,SMMS,S&T,SEC-NDLS-TKJ,SLOT_AFTERNOON,1.29,1.94,2026-09-15T15:00:00,2026-09-15T18:30:00,63,Signaling Cable Meggering & Trench Maintenance,SNT-SIG-NDLS-TKJ-0021,Underground Signaling Cable,9.6,169,1,72.6,5.1,MEDIUM,False,False,PENDING
REQ-20260915-ENG-0015,TMS,ENG,SEC-NDLS-TKJ,SLOT_AFTERNOON,1.72,3.5,2026-09-15T15:00:00,2026-09-15T18:15:00,97,Ballast Regulating & Track Dressing,ENG-TRK-NDLS-TKJ-0037,Ballast Track,2.5,81,0,26.5,6.8,LOW,False,True,PENDING
REQ-20260915-TRD-0014,TDMS,TRD,SEC-NDLS-TKJ,SLOT_AFTERNOON,1.74,3.5,2026-09-15T15:15:00,2026-09-15T18:15:00,67,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-NDLS-TKJ-0029,Post & Tension Insulators,11.4,128,1,59.6,4.7,HIGH,True,True,PENDING
REQ-20260915-TRD-0015,TDMS,TRD,SEC-PRYJ-DDU,SLOT_AFTERNOON,710.54,711.57,2026-09-15T15:15:00,2026-09-15T18:15:00,103,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-PRYJ-DDU-0040,Post & Tension Insulators,7.7,152,1,72.4,4.9,MEDIUM,True,True,PENDING
REQ-20260915-TRD-0016,TDMS,TRD,SEC-GZB-MB,SLOT_AFTERNOON,58.41,61.1,2026-09-15T15:30:00,2026-09-15T18:15:00,93,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-GZB-MB-0050,Post & Tension Insulators,4.1,32,0,48.1,7.5,LOW,True,True,PENDING
REQ-20260916-ENG-0016,COA,ENG,SEC-GZB-MB,SLOT_NIGHT,44.83,46.82,2026-09-16T00:30:00,2026-09-16T04:15:00,176,Track Tamping (BCM/CSM Machine),ENG-TRK-GZB-MB-0018,Ballast & Sleeper Bed,6.6,57,0,28.4,9.2,LOW,False,True,PENDING
REQ-20260916-TRD-0017,TDMS,TRD,SEC-GZB-MB,SLOT_NIGHT,45.05,46.06,2026-09-16T00:30:00,2026-09-16T04:15:00,134,OHE Catenary Wire Splicing & Tensioning,TRD-OHE-GZB-MB-0012,Tension Spring / Regulating Equipment,5.1,53,0,48.0,7.0,LOW,True,True,PENDING
REQ-20260916-TRD-0018,TDMS,TRD,SEC-TKJ-GZB,SLOT_NIGHT,6.43,11.17,2026-09-16T00:30:00,2026-09-16T04:30:00,143,Tower Wagon Foot Patrolling & Current Collection Test,TRD-OHE-TKJ-GZB-0073,Overhead Traction Line,15.7,160,2,73.1,5.2,HIGH,True,True,PENDING
REQ-20260916-TRD-0019,COA,TRD,SEC-ALJN-TDL,SLOT_NIGHT,182.05,182.27,2026-09-16T00:45:00,2026-09-16T04:15:00,110,Neutral Section & Phase Break Maintenance,TRD-OHE-ALJN-TDL-0014,PTFE Neutral Section,6.4,56,0,43.0,7.7,LOW,True,True,PENDING
REQ-20260916-ST-0010,SMMS,S&T,SEC-GZB-ALJN,SLOT_NIGHT,49.93,50.08,2026-09-16T00:45:00,2026-09-16T04:15:00,64,Digital Axle Counter (DAC) Sensor Calibration,SNT-SIG-GZB-ALJN-0071,Axle Counter Detection Point,20.8,359,4,115.9,2.5,CRITICAL,False,True,PENDING
REQ-20260916-ST-0011,SMMS,S&T,SEC-GZB-MB,SLOT_NIGHT,45.01,45.45,2026-09-16T00:45:00,2026-09-16T04:15:00,105,Electronic Interlocking (EI) Diagnostic & Fail-Safe Test,SNT-SIG-GZB-MB-0013,Solid State Interlocking Unit,4.1,105,0,42.3,9.2,MEDIUM,False,True,PENDING
REQ-20260916-ENG-0017,TMS,ENG,SEC-GZB-MB,SLOT_NIGHT,147.07,149.26,2026-09-16T00:45:00,2026-09-16T04:15:00,182,Through Rail Renewal (TRR),ENG-TRK-GZB-MB-0063,Continuous Welded Rail,24.2,324,6,83.4,1.9,CRITICAL,False,True,PENDING
REQ-20260916-ENG-0018,TMS,ENG,SEC-TKJ-GZB,SLOT_NIGHT,10.61,10.87,2026-09-16T00:45:00,2026-09-16T04:15:00,147,Turnout & Switch Crossing Renewal,ENG-TRK-TKJ-GZB-0002,Turnout Assembly,10.8,168,1,60.2,5.2,MEDIUM,True,True,PENDING
REQ-20260916-ENG-0019,TMS,ENG,SEC-ALJN-TDL,SLOT_NIGHT,182.43,182.66,2026-09-16T01:00:00,2026-09-16T04:15:00,100,Switch Expansion Joint (SEJ) Maintenance,ENG-TRK-ALJN-TDL-0020,SEJ Assembly,7.4,103,0,13.4,9.7,MEDIUM,False,True,PENDING
REQ-20260916-ST-0012,SMMS,S&T,SEC-CNB-PRYJ,SLOT_NIGHT,534.23,534.35,2026-09-16T01:00:00,2026-09-16T04:30:00,62,Digital Axle Counter (DAC) Sensor Calibration,SNT-SIG-CNB-PRYJ-0006,Axle Counter Detection Point,6.6,91,0,15.2,9.0,MEDIUM,False,True,PENDING
REQ-20260916-TRD-0020,TDMS,TRD,SEC-CNB-PRYJ,SLOT_NIGHT,534.3,536.38,2026-09-16T01:00:00,2026-09-16T04:15:00,122,Cantilever Assembly & Dropper Adjustment,TRD-OHE-CNB-PRYJ-0005,Cantilever Mast Assembly,3.4,97,0,33.4,8.6,MEDIUM,True,True,PENDING
REQ-20260916-ENG-0020,COA,ENG,SEC-CNB-PRYJ,SLOT_NIGHT,534.38,537.01,2026-09-16T01:00:00,2026-09-16T04:30:00,150,Ballast Regulating & Track Dressing,ENG-TRK-CNB-PRYJ-0009,Ballast Track,7.8,57,0,28.4,6.3,LOW,False,True,PENDING
REQ-20260916-TRD-0021,TDMS,TRD,SEC-TKJ-GZB,SLOT_NIGHT,11.07,11.49,2026-09-16T01:00:00,2026-09-16T04:30:00,63,Section Insulator & Isolator Switch Servicing,TRD-OHE-TKJ-GZB-0001,OHE Track Section Isolator,11.6,186,3,66.1,5.1,HIGH,True,True,PENDING
REQ-20260916-ST-0013,SMMS,S&T,SEC-ALJN-TDL,SLOT_EARLY_MORN,161.69,161.83,2026-09-16T05:00:00,2026-09-16T07:30:00,48,Digital Axle Counter (DAC) Sensor Calibration,SNT-SIG-ALJN-TDL-0003,Axle Counter Detection Point,10.5,218,3,66.5,4.9,HIGH,False,True,PENDING
REQ-20260916-TRD-0022,COA,TRD,SEC-ALJN-TDL,SLOT_EARLY_MORN,162.02,163.65,2026-09-16T05:00:00,2026-09-16T08:00:00,123,OHE Annual Overhaul & Contact Wire Inspection,TRD-OHE-ALJN-TDL-0003,OHE Contact & Catenary Wire,7.2,133,2,58.7,6.1,HIGH,True,True,PENDING
REQ-20260916-ENG-0021,TMS,ENG,SEC-ALJN-TDL,SLOT_EARLY_MORN,162.22,162.63,2026-09-16T05:00:00,2026-09-16T07:30:00,135,Turnout & Switch Crossing Renewal,ENG-TRK-ALJN-TDL-0005,Turnout Assembly,25.3,256,5,93.7,2.2,CRITICAL,False,True,PENDING
REQ-20260916-ENG-0022,TMS,ENG,SEC-CNB-PRYJ,SLOT_EARLY_MORN,487.93,489.55,2026-09-16T05:00:00,2026-09-16T07:30:00,135,Through Rail Renewal (TRR),ENG-TRK-CNB-PRYJ-0085,Continuous Welded Rail,11.3,176,3,71.4,4.4,HIGH,False,True,PENDING
REQ-20260916-TRD-0023,TDMS,TRD,SEC-GZB-ALJN,SLOT_EARLY_MORN,98.27,98.52,2026-09-16T05:00:00,2026-09-16T08:00:00,136,Neutral Section & Phase Break Maintenance,TRD-OHE-GZB-ALJN-0055,PTFE Neutral Section,1.6,58,0,37.7,6.9,LOW,True,True,PENDING
REQ-20260916-TRD-0024,COA,TRD,SEC-TKJ-GZB,SLOT_EARLY_MORN,16.14,17.4,2026-09-16T05:00:00,2026-09-16T07:45:00,146,OHE Catenary Wire Splicing & Tensioning,TRD-OHE-TKJ-GZB-0064,Tension Spring / Regulating Equipment,2.6,37,0,24.6,7.8,LOW,True,True,PENDING
REQ-20260916-ENG-0023,TMS,ENG,SEC-TKJ-GZB,SLOT_EARLY_MORN,17.81,19.63,2026-09-16T05:00:00,2026-09-16T07:45:00,150,Through Rail Renewal (TRR),ENG-TRK-TKJ-GZB-0061,Continuous Welded Rail,14.2,200,1,48.4,5.3,MEDIUM,False,True,PENDING
REQ-20260916-ENG-0024,TMS,ENG,SEC-GZB-ALJN,SLOT_MIDDAY,26.15,26.78,2026-09-16T11:30:00,2026-09-16T14:30:00,108,Ultrasonic Flaw Detection (USFD) & Joint Rectification,ENG-TRK-GZB-ALJN-0033,Rail Joint / Fishplate,7.2,72,0,26.8,8.8,LOW,False,True,PENDING
REQ-20260916-TRD-0025,TDMS,TRD,SEC-GZB-ALJN,SLOT_MIDDAY,26.71,28.67,2026-09-16T11:30:00,2026-09-16T15:00:00,126,Cantilever Assembly & Dropper Adjustment,TRD-OHE-GZB-ALJN-0025,Cantilever Mast Assembly,13.8,223,1,66.0,5.7,MEDIUM,True,True,PENDING
REQ-20260916-ST-0014,COA,S&T,SEC-GZB-ALJN,SLOT_MIDDAY,117.35,117.71,2026-09-16T11:45:00,2026-09-16T15:00:00,93,Point Machine Overhaul & Lubrication,SNT-SIG-GZB-ALJN-0027,Electric Point Machine,3.4,40,0,22.0,9.3,LOW,False,True,PENDING
REQ-20260916-ST-0015,SMMS,S&T,SEC-TDL-CNB,SLOT_MIDDAY,336.06,336.3,2026-09-16T11:45:00,2026-09-16T14:45:00,84,Level Crossing Interlocking Gate Inspection,SNT-SIG-TDL-CNB-0048,Interlocked LC Gate Mechanism,5.4,91,0,26.9,6.7,MEDIUM,False,True,PENDING
REQ-20260916-TRD-0026,TDMS,TRD,SEC-TDL-CNB,SLOT_MIDDAY,222.37,224.93,2026-09-16T12:00:00,2026-09-16T15:00:00,93,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-TDL-CNB-0051,Post & Tension Insulators,11.1,142,3,71.8,4.4,HIGH,True,True,PENDING
REQ-20260916-TRD-0027,TDMS,TRD,SEC-ALJN-TDL,SLOT_AFTERNOON,153.91,157.8,2026-09-16T15:00:00,2026-09-16T18:00:00,150,Tower Wagon Foot Patrolling & Current Collection Test,TRD-OHE-ALJN-TDL-0026,Overhead Traction Line,1.4,32,0,21.1,6.7,LOW,True,True,PENDING
REQ-20260916-ENG-0025,TMS,ENG,SEC-ALJN-TDL,SLOT_AFTERNOON,154.56,156.56,2026-09-16T15:00:00,2026-09-16T18:30:00,175,Track Tamping (BCM/CSM Machine),ENG-TRK-ALJN-TDL-0034,Ballast & Sleeper Bed,8.3,169,2,66.8,5.1,HIGH,False,True,PENDING
REQ-20260916-TRD-0028,TDMS,TRD,SEC-NDLS-TKJ,SLOT_AFTERNOON,2.22,2.46,2026-09-16T15:00:00,2026-09-16T18:00:00,150,Neutral Section & Phase Break Maintenance,TRD-OHE-NDLS-TKJ-0069,PTFE Neutral Section,11.4,188,3,81.4,6.0,HIGH,True,True,PENDING
REQ-20260916-ENG-0026,TMS,ENG,SEC-TKJ-GZB,SLOT_AFTERNOON,21.28,23.32,2026-09-16T15:00:00,2026-09-16T18:15:00,139,Ballast Regulating & Track Dressing,ENG-TRK-TKJ-GZB-0066,Ballast Track,8.5,156,1,48.4,5.8,MEDIUM,False,True,PENDING
REQ-20260916-ST-0016,SMMS,S&T,SEC-ALJN-TDL,SLOT_AFTERNOON,164.5,164.63,2026-09-16T15:15:00,2026-09-16T18:00:00,51,Signal Aspect LED Lamp & Mechanism Replacement,SNT-SIG-ALJN-TDL-0036,Color Light Signal Post,7.0,16,0,19.4,7.6,LOW,False,False,PENDING
REQ-20260916-TRD-0029,TDMS,TRD,SEC-CNB-PRYJ,SLOT_AFTERNOON,520.28,521.42,2026-09-16T15:15:00,2026-09-16T18:15:00,97,OHE Insulator Washing & High-Voltage Testing,TRD-OHE-CNB-PRYJ-0052,Post & Tension Insulators,5.5,67,0,27.8,9.2,LOW,True,True,PENDING
REQ-20260916-ENG-0027,TMS,ENG,SEC-GZB-MB,SLOT_AFTERNOON,33.06,33.4,2026-09-16T15:15:00,2026-09-16T18:00:00,145,Turnout & Switch Crossing Renewal,ENG-TRK-GZB-MB-0080,Turnout Assembly,7.7,123,1,53.1,4.3,HIGH,True,True,PENDING
REQ-20260916-ST-0017,COA,S&T,SEC-GZB-ALJN,SLOT_AFTERNOON,48.86,48.98,2026-09-16T15:30:00,2026-09-16T18:30:00,74,Signal Aspect LED Lamp & Mechanism Replacement,SNT-SIG-GZB-ALJN-0077,Color Light Signal Post,11.1,215,2,64.7,3.9,HIGH,False,False,PENDING
REQ-20260916-ST-0018,COA,S&T,SEC-PRYJ-DDU,SLOT_AFTERNOON,716.79,717.06,2026-09-16T15:30:00,2026-09-16T18:15:00,61,Point Machine Overhaul & Lubrication,SNT-SIG-PRYJ-DDU-0030,Electric Point Machine,23.3,313,3,120.6,2.2,CRITICAL,False,True,PENDING
REQ-20260917-TRD-0030,TDMS,TRD,SEC-TDL-CNB,SLOT_NIGHT,222.29,222.63,2026-09-17T00:30:00,2026-09-17T04:00:00,106,Section Insulator & Isolator Switch Servicing,TRD-OHE-TDL-CNB-0039,OHE Track Section Isolator,10.8,214,3,73.8,4.4,HIGH,True,True,PENDING
REQ-20260917-ENG-0028,TMS,ENG,SEC-CNB-PRYJ,SLOT_NIGHT,438.75,438.97,2026-09-17T00:45:00,2026-09-17T04:15:00,108,Switch Expansion Joint (SEJ) Maintenance,ENG-TRK-CNB-PRYJ-0022,SEJ Assembly,4.0,59,0,15.3,9.3,LOW,False,True,PENDING
REQ-20260917-TRD-0031,TDMS,TRD,SEC-CNB-PRYJ,SLOT_NIGHT,438.76,440.17,2026-09-17T00:45:00,2026-09-17T04:15:00,132,Cantilever Assembly & Dropper Adjustment,TRD-OHE-CNB-PRYJ-0016,Cantilever Mast Assembly,23.7,273,5,126.7,2.6,CRITICAL,True,True,PENDING
REQ-20260917-ST-0019,SMMS,S&T,SEC-GZB-ALJN,SLOT_NIGHT,71.8,72.0,2026-09-17T00:45:00,2026-09-17T04:00:00,90,Point Machine Overhaul & Lubrication,SNT-SIG-GZB-ALJN-0067,Electric Point Machine,12.5,220,1,76.6,5.7,MEDIUM,False,True,PENDING
REQ-20260917-ENG-0029,TMS,ENG,SEC-GZB-MB,SLOT_NIGHT,135.59,136.68,2026-09-17T00:45:00,2026-09-17T04:15:00,113,Ballast Regulating & Track Dressing,ENG-TRK-GZB-MB-0042,Ballast Track,4.6,91,0,24.3,8.8,MEDIUM,False,True,PENDING
REQ-20260917-TRD-0032,TDMS,TRD,SEC-NDLS-TKJ,SLOT_NIGHT,1.12,2.61,2026-09-17T00:45:00,2026-09-17T04:15:00,136,OHE Catenary Wire Splicing & Tensioning,TRD-OHE-NDLS-TKJ-0053,Tension Spring / Regulating Equipment,9.4,229,3,84.3,5.4,HIGH,True,True,PENDING
REQ-20260917-ST-0020,SMMS,S&T,SEC-ALJN-TDL,SLOT_NIGHT,177.69,178.17,2026-09-17T01:00:00,2026-09-17T04:15:00,98,Electronic Interlocking (EI) Diagnostic & Fail-Safe Test,SNT-SIG-ALJN-TDL-0059,Solid State Interlocking Unit,25.6,325,3,134.5,3.2,CRITICAL,False,True,PENDING
REQ-20260917-ST-0021,SMMS,S&T,SEC-CNB-PRYJ,SLOT_NIGHT,438.97,439.15,2026-09-17T01:00:00,2026-09-17T04:00:00,88,Level Crossing Interlocking Gate Inspection,SNT-SIG-CNB-PRYJ-0015,Interlocked LC Gate Mechanism,24.4,283,4,117.7,3.1,CRITICAL,False,True,PENDING
